compound,actual,prediction,pred errs
Propyl Acetate,,334.12,13.77
Propyl Acetate,,334.12,13.77
Propyl Acetate,,334.12,13.77
Propyl Acetate,,334.12,13.77
Propyl Acetate,,334.12,13.77
Propyl Acetate,,334.12,13.77
Propyl Acetate,,334.12,13.77
Propyl Acetate,,334.12,13.77
Isobutyl Acetate,,397.54,16.24
Isobutyl Acetate,,397.54,16.24
Isobutyl Acetate,,397.54,16.24
Isobutyl Acetate,,397.54,16.24
Isobutyl Acetate,,397.54,16.24
Isobutyl Acetate,,397.54,16.24
Isobutyl Acetate,,397.54,16.24
Isobutyl Acetate,,397.54,16.24
Isobutyl Acetate,,397.54,16.24
Butyl Acetate,,397.67,13.84
Butyl Acetate,,397.67,13.84
Butyl Acetate,,397.67,13.84
Butyl Acetate,,397.67,13.84
Butyl Acetate,,397.67,13.84
Butyl Acetate,,397.67,13.84
Butyl Acetate,,397.67,13.84
Butyl Acetate,,397.67,13.84
Butyl Acetate,,397.67,13.84
Butyl Acetate,,397.67,13.84
Butyl Acetate,,397.67,13.84
Butyl Acetate,,397.67,13.84
Butyl Acetate,,397.67,13.84
Butyl Acetate,,397.67,13.84
Butyl Acetate,,397.67,13.84
Butyl Acetate,,397.67,13.84
Butyl Acetate,,397.67,13.84
Butyl Acetate,,397.67,13.84
Butyl Acetate,,397.67,13.84
Butyl Acetate,,397.67,13.84
tert-Butyl Acetate,,379.09,22.0
tert-Butyl Acetate,,379.09,22.0
tert-Butyl Acetate,,379.09,22.0
tert-Butyl Acetate,,379.09,22.0
